,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
264,0,1,0,1,0,0,0,0,2,2,3,3,0,2,0,5,2,0,2,0,3,2,0,0,1417539512.7205749,274305780.0430615,182600000.0,13886.579120367833,0.1558832982106975,0.0,0.0
265,0,1,0,1,0,0,0,1,3,4,0,0,0,3,0,0,5,5,2,1,1,1,0,0,246719442.39317957,204676327.70895326,825700000.0,15442.044261538978,0.0010374286710547985,0.05636447763255717,0.0001462322030756818
266,0,0,0,0,0,0,0,0,3,5,2,4,4,2,3,6,3,1,1,6,1,3,2,2,491079435.4730304,528724390.7007975,0.0,6431.75316090001,0.04784589835276815,0.0,0.0
267,0,1,0,0,0,0,0,0,3,3,0,3,0,1,0,1,7,0,6,0,6,7,0,0,1869895182.0172997,255181328.34531856,61400000.0,22817.682089754995,0.15824178850201231,0.001549603427966527,0.0
268,1,0,0,0,0,0,0,0,3,3,3,0,0,1,0,0,0,3,1,1,3,4,0,1,1255126175.1755714,235425935.64700752,146000000.0,43740.10332179002,0.05779207670334319,0.13152402594558393,0.0
269,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,6,4,4,0,0,82376868.93808664,147911947.11306554,908600000.0,0.0,0.00494506917476631,0.1406343199030453,0.0
270,1,1,0,0,0,0,0,0,0,5,1,0,3,2,0,1,3,2,5,3,6,1,1,0,605721328.3400915,346998221.18730116,61400000.0,0.0,0.46907345596058275,0.024085090259615558,0.0
271,0,1,0,1,0,0,0,0,3,6,0,0,1,1,0,8,6,0,7,1,4,1,0,0,15148280.758744232,276862274.8140574,236500000.0,852.4221402821292,0.00184320848737893,0.0,0.0
272,0,1,0,0,0,0,0,0,0,6,1,0,3,2,0,7,3,3,3,3,4,0,0,0,106531174.44542891,324278423.87109125,199900000.0,0.0,0.0,0.0,0.1028095238762576
273,1,0,0,0,0,0,0,0,0,3,5,0,0,2,0,0,5,4,2,1,1,0,0,1,911897351.3454626,250959029.90350002,61400000.0,0.0,0.6514916783637631,0.09194425209505482,0.045073463533359
274,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,2,0,0,3,2,0,0,0,0,1750583281.3982809,124823982.79142158,425300000.0,0.0,0.05297711878091202,2.98492535898087,0.0
275,0,0,0,0,0,0,0,0,0,5,1,0,0,2,0,0,3,3,7,5,0,1,0,0,929266264.5854528,239731967.17495766,169200000.0,0.0,0.034073001123234165,1.7249916536284509,0.0
276,1,0,0,0,0,0,0,0,0,7,0,0,0,2,0,1,2,4,1,1,0,0,0,0,582863226.4388249,196243206.2904832,115300000.0,0.0,0.024717535232886636,1.0266050188022602,0.03121102021237816
277,0,1,0,1,0,0,0,0,2,2,0,3,0,2,0,2,0,7,5,0,2,2,0,0,59866095.224187486,231393266.52128106,702800000.0,2507.9277572238625,0.0014478997915312764,0.01451817287551037,0.0
278,0,1,0,0,0,0,0,0,0,8,0,2,1,3,3,0,0,3,5,0,5,0,0,0,1310581506.8538394,315851543.12281185,115300000.0,0.0,0.0051700105478486615,2.3033208604535416,0.0
279,0,1,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,7,1,3,2,5,0,0,1583680381.3300283,137166523.35644126,538900000.0,72511.90578510446,0.029367261099625494,0.2557738919947098,0.0
280,1,0,1,0,0,0,0,0,3,3,0,0,0,3,0,7,3,0,1,1,1,1,7,3,12526159.744212113,285040530.77727526,756700000.0,831.7024275945856,0.001707564608351271,1.1131384039923959e-05,0.0
281,1,0,0,0,0,0,0,0,0,1,0,7,1,2,0,2,0,0,1,1,2,7,0,0,172952795.87566158,272749599.53911424,448400000.0,0.0,0.01890102067324104,0.26436362365721133,0.0
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,1,3,0,0,1456269479.2936006,83118965.56185523,284500000.0,0.0,0.15246125181380438,2.172914905976759,0.0
