,policy,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
10541,,25300442.869050894,389229068.71292466,30700000.0,913.042590562437,0.0018342683160180867,0.0,0.008547991822765152
10542,,4315397.26723325,389229068.71292466,30700000.0,137.77042212029386,0.0018433972015951426,0.0,0.0
10543,,103384046.7689064,389229068.71292466,30700000.0,3060.4116869411637,0.0,0.0003437263257788668,0.03244687320748327
10544,,34360519.212349415,389229068.71292466,30700000.0,1324.5523303511245,0.0018565676274858518,0.0003458521166122202,0.01258654664476701
10545,,39363330.73950152,389229068.71292466,30700000.0,976.8549573907716,0.005201990738220754,0.0007972929969640031,0.004890506987752538
10546,,65129314.054926656,389229068.71292466,30700000.0,2143.4965694231696,0.025657903629108483,0.0,0.0
10547,,45098764.75142062,389229068.71292466,30700000.0,1024.6948628583282,0.005143712472418767,0.018375965779785227,0.0
10548,,59357561.854844384,389229068.71292466,30700000.0,2296.193798963827,0.0018442497300130529,0.005785741043163194,0.011679684360052922
10549,,233802448.9293962,389229068.71292466,30700000.0,7849.849705342056,0.08470263691090069,0.0,0.0
10550,,65310038.15591435,389229068.71292466,30700000.0,1935.7679482279923,0.009559184898900619,0.003565071248998677,0.004577660676052484
10551,,63376685.43313577,389229068.71292466,30700000.0,1585.608958790118,0.001822353572087783,0.00029904171283853006,0.015252505456555638
10552,,54743831.622155085,389229068.71292466,30700000.0,1776.613581662245,0.008236203237689279,0.0,0.012401974051329836
10553,,65592868.17296502,389229068.71292466,30700000.0,2314.3743653174397,0.020679532933625417,0.0009691637371595594,0.004577660676052484
10554,,58777549.464316435,389229068.71292466,30700000.0,1497.060149646417,0.0,0.0003367200695675816,0.015832003147081018
10555,,71881554.54142435,389229068.71292466,30700000.0,2894.4676799643767,0.034119793686584785,0.0,0.0
10556,,29270459.78968638,389229068.71292466,30700000.0,1165.9904224144943,0.005152024598499422,0.0,0.008441208092517565
10557,,4629094.080483434,389229068.71292466,30700000.0,143.2983116947146,0.0,0.0008946907489052451,0.0
10558,,158984142.4141642,389229068.71292466,30700000.0,4934.348503498615,0.0033857724360119297,0.0,0.05111849435045189
10559,,70864229.13593522,389229068.71292466,30700000.0,2319.7564941143046,0.0,0.0,0.025604434036988186
10560,,134516688.99406403,389229068.71292466,30700000.0,3950.7990519337463,0.033638143606531896,0.0,0.011955279211458567
10561,,98634349.27098659,389229068.71292466,30700000.0,3332.1519243717084,0.005206280631514142,0.0,0.031352674497144
10562,,42813018.67830731,389229068.71292466,30700000.0,1566.0593698859657,0.0018185837775423989,0.0,0.015609185473045717
10563,,134606170.28872162,389229068.71292466,30700000.0,3838.209482996468,0.013990112876243962,0.0,0.02900864940649251
10564,,2078833.6558786056,389229068.71292466,30700000.0,93.60490892418125,0.0,0.0003480680268336964,0.000480287483981207
10565,,823896225.9143459,389229068.71292466,30700000.0,22087.49886710317,0.08838573297126126,0.0,0.13825398913587245
10566,,38773378.63230641,389229068.71292466,30700000.0,1514.0506129705495,0.01364223548910521,0.0,0.004381914526891608
10567,,27215088.626476146,389229068.71292466,30700000.0,581.9240607693877,0.0051592993365850255,0.0007659905361270836,0.0005091596356825629
10568,,82402801.10551783,389229068.71292466,30700000.0,2821.093174212958,0.0018479903656049234,0.0007684140524941972,0.027412415620309695
10569,,640581228.871225,389229068.71292466,30700000.0,23827.643844561662,0.04710738303206016,0.0,0.19517004683534436
10570,,96925789.44452854,389229068.71292466,30700000.0,3055.1557885052707,0.017717511308557296,0.0,0.017007253074592926
10571,,30023681.257202692,389229068.71292466,30700000.0,955.0298726617366,0.001852788838803808,0.0020167415122717873,0.004716644512884709
10572,,37505641.09979758,389229068.71292466,30700000.0,1667.8983786678089,0.001870200138195422,0.0,0.016850525796894493
10573,,51844023.245359436,389229068.71292466,30700000.0,1985.7335897964495,0.01141734106927422,0.0,0.011655495175636577
10574,,5716078.265395329,389229068.71292466,30700000.0,140.07680091828868,0.0,0.0008258977311483766,0.0
10575,,160295986.18266082,389229068.71292466,30700000.0,5012.998743312828,0.0018233313818933543,0.0003161321807780179,0.05054093641880033
10576,,37414539.591097385,389229068.71292466,30700000.0,1470.1898455528385,0.0,0.0,0.016118700884651904
10577,,16144862.869599404,389229068.71292466,30700000.0,571.8713518808472,0.0018590293140663611,0.0,0.004841515748890915
10578,,3517950.00747818,389229068.71292466,30700000.0,137.21456196796566,0.0018233313818933543,0.0,0.0
10579,,20566768.900165845,389229068.71292466,30700000.0,571.5691017100503,0.0,0.0008674032105178948,0.004790590166247068
10580,,62737371.605090275,389229068.71292466,30700000.0,1944.0680266293311,0.0018438181821945267,0.0036581492490846755,0.011399727938220628
10581,,26816991.176118746,389229068.71292466,30700000.0,601.4137617766731,0.001811399954074314,0.0007757326727005881,0.003571826072492538
10582,,15584735.014169931,389229068.71292466,30700000.0,399.5550723252414,0.005168349034949847,0.0,0.0
10583,,353964843.79020196,389229068.71292466,30700000.0,9795.147965613467,0.0018681430140213345,0.0021149335076378964,0.09602193164415528
10584,,124846135.18473852,389229068.71292466,30700000.0,2875.677822722456,0.0,0.0009044996827430908,0.02966178181511446
10585,,57139555.06257442,389229068.71292466,30700000.0,2107.515185155505,0.0018102957938040437,0.0,0.02128863767165703
10586,,62763392.695215225,389229068.71292466,30700000.0,2357.081959369686,0.0,0.0,0.025066807675578437
10587,,8000206.892610784,389229068.71292466,30700000.0,328.1595213830472,0.00315216408904781,0.00023457482119394835,0.00047618996452787165
10588,,22291901.333133638,389229068.71292466,30700000.0,445.67731582307596,0.00520653180169703,0.0,0.0005056514805584557
10589,,75912687.72380714,389229068.71292466,30700000.0,2822.150743686613,0.0018145507755103602,0.0,0.02866203742049768
10590,,119961451.80216558,389229068.71292466,30700000.0,3980.4412111515066,0.046646745138055425,0.0,0.0
10591,,59708139.8308385,389229068.71292466,30700000.0,1494.1094639681305,0.0018045007997320875,0.0,0.014724504637658498
10592,,440312406.34745723,389229068.71292466,30700000.0,14275.419999551617,0.001865348861787054,0.0,0.14450409578635987
10593,,83025853.70087233,389229068.71292466,30700000.0,2173.8035915056234,0.025370114927607216,0.0,0.0004781342067779161
10594,,12376503.550249806,389229068.71292466,30700000.0,398.66346660160457,0.005136163242137314,0.0,0.0
10595,,488632907.75904405,389229068.71292466,30700000.0,12672.44243921562,0.005193399805747949,0.007986059930788911,0.10494925276624482
10596,,296846083.884319,389229068.71292466,30700000.0,11396.564394313858,0.0018543553682168292,0.0,0.11636486931259514
10597,,26256252.172657974,389229068.71292466,30700000.0,718.4186762086377,0.0,0.018695352941725855,0.0010178355269514438
10598,,7257523.453630414,389229068.71292466,30700000.0,179.43828625107872,0.001827013084973681,0.0,0.0004692704621318113
10599,,11179013.260826765,389229068.71292466,30700000.0,328.8294981994505,0.0018662293984203111,0.0009140417480144976,0.0005199623282029505
10600,,44770558.462836266,389229068.71292466,30700000.0,1446.4371482496679,0.001824111473873936,0.0,0.014128424162844997
10601,,76201858.76598185,389229068.71292466,30700000.0,2620.7940838076397,0.01820378800138899,0.0,0.012490720038707378
10602,,11002615.532173356,389229068.71292466,30700000.0,440.9513453591929,0.005150076265485564,0.00023479825300226943,0.0
10603,,97157412.1316961,389229068.71292466,30700000.0,2857.5369389701614,0.01191886793569815,0.0035076973802163234,0.012448480035128811
10604,,233864329.74954572,389229068.71292466,30700000.0,9803.9129454032,0.09084058093419389,0.0,0.01709510317945165
10605,,34554060.04682198,389229068.71292466,30700000.0,889.7543675849893,0.0,0.0008418164334599899,0.00821922796436679
10606,,71043353.80103035,389229068.71292466,30700000.0,2234.3079880230807,0.018326079776431643,0.0,0.008255035045722704
